Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-142.13618298004988,14.000736142473798,-210.62984,-117.87832,79.6932668329177,38.0,131.0,-0.06317765808105469,-0.71057177,0.51703954,-9.7458388671875,-27.036009,0.029183269,9.745840072631836,111.54610443115234,-0.1755352020263672,-58.25004577636719,0.7436313033103943,0.0017384100938215852,80.0,58455,0.9827896356582642,0.0003,-90.15342712402344,12.653510093688965,0.508999994180536,32000,232,137
2,-141.76606758004925,13.813305205783593,-240.44894,-120.14946,78.70197044334975,43.0,138.0,-1.840197021484375,-9.113034,8.785333,-1.9689267578125,-16.189146,9.244167,1.9689269065856934,13.495253562927246,-0.06500375270843506,-9.547152519226074,0.740358293056488,0.0019952934235334396,80.0,58455,0.9909676313400269,0.000299,-90.21766662597656,12.636902809143066,0.5073366646451225,64000,395,196
3,-142.59852645420793,15.56001150627772,-260.54846,-108.31883,79.16336633663366,37.0,150.0,-4.05066748046875,-9.035632,6.5863137,-1.25938525390625,-10.372026,3.2451313,1.2593852281570435,3.2979748249053955,-0.024453043937683105,-2.391258716583252,0.7370739579200745,0.0015497098211199045,80.0,58455,0.9904148578643799,0.000298,-90.37025451660156,12.646659851074219,0.5056733452856872,96000,544,214
4,-142.63758572319202,15.7776965240806,-273.0257,-120.65215,79.76059850374065,50.0,157.0,-5.2300908203125,-9.085809,3.5740163,-0.821082275390625,-5.8845935,1.2650399,0.821082353591919,1.4769428968429565,-0.016608595848083496,-1.1096194982528687,0.73377925157547,0.0017669475637376308,80.0,58455,0.9900451898574829,0.00029699999999999996,-90.40491485595703,12.687430381774902,0.504010011618452,128000,695,212
5,-146.83249505277044,19.842322458676296,-309.21497,-112.239815,84.26385224274406,43.0,158.0,-5.9121845703125,-9.082019,1.0682898,-0.5105890197753906,-3.8458436,1.0817223,0.5105890035629272,0.6431412100791931,-0.009387195110321045,-0.43512630462646484,0.7304736375808716,0.0014623294118791819,80.0,58455,0.9934602379798889,0.000296,-90.51707458496094,12.994263648986816,0.5023466697765746,160000,935,133
6,-148.32062251984127,19.906872301163105,-283.51025,-112.47269,84.6058201058201,47.0,151.0,-6.3690595703125,-9.140797,-1.4851927,-0.30155703735351563,-2.5283248,1.3153648,0.3015570640563965,0.3312915563583374,-0.0067393481731414795,-0.1795683652162552,0.7271569967269897,0.0013693762011826038,80.0,58455,0.9948387742042542,0.00029499999999999996,-90.73607635498047,13.176777839660645,0.5006833261702077,192000,1087,209
7,-152.54501284246575,42.32676417768579,-704.8243,-111.10161,87.43561643835616,42.0,269.0,-6.64331689453125,-8.927348,-1.8287145,-0.17138851928710938,-6.5911765,1.215239,0.17138853669166565,0.33226722478866577,-0.007916495203971863,-0.1471591293811798,0.7238293290138245,0.0014506656443700194,80.0,58455,0.9958735108375549,0.000294,-91.15802001953125,14.888359069824219,0.4990199874853069,224000,1236,214
8,-163.31688753581662,76.0890299108838,-1334.3833,-117.30279,91.59885386819484,42.0,350.0,-6.8031865234375,-8.919193,-2.0059516,0.06105844116210937,-5.620544,2.1058402,-0.06105843931436539,0.4394439160823822,-0.010214850306510925,-0.11769845336675644,0.720490574836731,0.00137709965929389,80.0,58455,1.001004934310913,0.00029299999999999997,-92.16133880615234,18.614456176757812,0.4973566606824231,256000,1384,216
9,-162.29217601102943,41.66265519905439,-510.14536,-112.93569,94.05588235294118,45.0,256.0,-6.68023583984375,-8.709267,3.87597,0.4698452453613281,-9.147457,2.9830728,-0.4698452055454254,0.6176662445068359,-0.01127016544342041,-0.3748941421508789,0.7171405553817749,0.001127624069340527,80.0,58455,1.0083240270614624,0.000292,-92.64115905761719,18.987207412719727,0.4956933234498547,288000,1531,218
10,-165.28043905336258,49.08345806137907,-604.3495,-109.91323,93.38011695906432,43.0,248.0,-6.1848525390625,-7.935321,-3.1788175,0.3696163330078125,-3.4376569,2.191018,-0.3696163296699524,0.30895352363586426,-0.006683915853500366,-0.1678011268377304,0.7137795686721802,0.0009631607099436224,80.0,58455,1.0069425106048584,0.00029099999999999997,-93.224609375,19.59095573425293,0.49403001303756583,320000,1678,217
